cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.8154030753968254,0.5473333333333333,0.833654761904762,0.13024059536358729,0.29499093854672714,0.1772477746990141,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.8154030753968254,0.5473333333333333,0.833654761904762,0.13024059536358729,0.29499093854672714,0.1772477746990141,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.8154030753968254,0.5473333333333333,0.833654761904762,0.13024059536358729,0.29499093854672714,0.1772477746990141,L2_Logistic_Regression
0.001,L2_primal,0.01,0.815522123015873,0.5473333333333333,0.833654761904762,0.1302023250390801,0.29499093854672714,0.1772477746990141,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.8164710317460318,0.5470833333333334,0.8313630952380953,0.13048758195877375,0.29104174497816115,0.18120435117770356,L2_Logistic_Regression
0.005,L2_primal,0.01,0.8168996031746032,0.5468333333333333,0.8312440476190476,0.13038459985988107,0.289155328534856,0.1802651785853561,L2_Logistic_Regression
0.01,L2_primal,0.01,0.8189531746031746,0.5474166666666667,0.8322440476190476,0.12964393659148318,0.28620867108792925,0.1825902865753915,L2_Logistic_Regression
0.05,L2_primal,0.01,0.8286010912698413,0.5701666666666667,0.8367559523809524,0.12298697383026046,0.2702418938353124,0.1675071931588839,L2_Logistic_Regression
0.1,L2_primal,0.01,0.835738492063492,0.6015,0.8282678571428571,0.12263939032643362,0.2587723346135795,0.16767394644963743,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8414649801587302,0.65325,0.8162619047619047,0.11907244969796357,0.23505406140104848,0.16513398261865808,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8456751984126984,0.6845,0.8018095238095239,0.11247627401434365,0.23057419889238084,0.16541887363133986,L2_Logistic_Regression
1,L2_primal,0.01,0.846714880952381,0.6845833333333333,0.7911369047619048,0.11062430342518963,0.2290278626387627,0.17082361224846046,L2_Logistic_Regression
10,L2_primal,0.01,0.847319742063492,0.6986666666666667,0.770720238095238,0.10495296133465291,0.21058239944735946,0.17085847889305686,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.46402599206349204,0.25433333333333336,0.716297619047619,0.14962905585793423,0.24079502602029365,0.2101132691196339,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.46402599206349204,0.25433333333333336,0.716297619047619,0.14962905585793423,0.24079502602029365,0.2101132691196339,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.46402599206349204,0.25433333333333336,0.716297619047619,0.14962905585793423,0.24079502602029365,0.2101132691196339,L2_Logistic_Regression
0.001,L2_primal,0.01,0.46402599206349204,0.25433333333333336,0.716297619047619,0.14962905585793423,0.24079502602029365,0.2101132691196339,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.4627263888888889,0.2594166666666667,0.7148690476190476,0.14897009613574036,0.24311041336738443,0.21012213584889317,L2_Logistic_Regression
0.005,L2_primal,0.01,0.46273829365079366,0.26166666666666666,0.7142440476190476,0.1486774038331344,0.24303818634596064,0.20982913867128578,L2_Logistic_Regression
0.01,L2_primal,0.01,0.46239900793650796,0.2645,0.706220238095238,0.14801611247029847,0.24272387594823097,0.2055428242636687,L2_Logistic_Regression
0.05,L2_primal,0.01,0.46038829365079365,0.3005,0.6852619047619047,0.14424161364858648,0.24212850803934702,0.20057559266958078,L2_Logistic_Regression
0.1,L2_primal,0.01,0.4582281746031746,0.32333333333333336,0.6696190476190476,0.13854404123050876,0.24476655088732507,0.18961169277220047,L2_Logistic_Regression
0.25,L2_primal,0.01,0.45667390873015873,0.36041666666666666,0.6256607142857142,0.1385433891521071,0.24318998037542008,0.1962319346685565,L2_Logistic_Regression
0.5,L2_primal,0.01,0.4564299603174603,0.39008333333333334,0.5787023809523809,0.13721001063601035,0.2291080555473652,0.1865440393728893,L2_Logistic_Regression
1,L2_primal,0.01,0.4551561507936508,0.4076666666666667,0.5585595238095238,0.1358177243756246,0.22276146188256135,0.18232110050206116,L2_Logistic_Regression
