cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.5352968253968254,0.7584047619047619,0.3125833333333333,0.1501693109898939,0.23473701443639564,0.27696053846350865,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.5352968253968254,0.7584047619047619,0.3125833333333333,0.1501693109898939,0.23473701443639564,0.27696053846350865,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.5352968253968254,0.7584047619047619,0.3125833333333333,0.1501693109898939,0.23473701443639564,0.27696053846350865,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5357968253968254,0.7616190476190476,0.3109166666666667,0.15036840642085628,0.23295413366452647,0.27378785951103407,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.5357353174603174,0.7647857142857143,0.30766666666666664,0.14971923006360174,0.23065320700523384,0.27314084000986627,L2_Logistic_Regression
0.005,L2_primal,0.01,0.5374198412698412,0.7665714285714286,0.30475,0.1498436758336334,0.22668619122386488,0.2695684740467407,L2_Logistic_Regression
0.01,L2_primal,0.01,0.539225,0.7659761904761905,0.30225,0.14970012434305052,0.22559550595656266,0.2700666703260398,L2_Logistic_Regression
0.05,L2_primal,0.01,0.5420579365079365,0.7637142857142857,0.30833333333333335,0.14982875223973102,0.2166849072889513,0.266996236880028,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5430551587301587,0.7526904761904762,0.31825,0.14931382777628968,0.21340414631443783,0.2524950729516914,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5418555555555555,0.7439285714285714,0.31074999999999997,0.1508557062105,0.2138412009655584,0.24942646383223818,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5445218253968254,0.7469761904761905,0.31074999999999997,0.15040381287562582,0.2148715384327676,0.24689528033727104,L2_Logistic_Regression
1,L2_primal,0.01,0.5445555555555556,0.744,0.31116666666666665,0.15261077038647514,0.21385761390054386,0.2440189624763163,L2_Logistic_Regression
10,L2_primal,0.01,0.5505527777777778,0.7441190476190477,0.3119166666666667,0.14770837382285484,0.2150431841043839,0.24395756134307475,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7167269841269841,0.7641428571428571,0.5814166666666667,0.16649878569486415,0.19533811105855353,0.2984052976471345,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7167269841269841,0.7641428571428571,0.5814166666666667,0.16649878569486415,0.19533811105855353,0.2984052976471345,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7167269841269841,0.7641428571428571,0.5814166666666667,0.16649878569486415,0.19533811105855353,0.2984052976471345,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7176515873015873,0.7666904761904761,0.5814166666666667,0.16593422398104093,0.19376409568876646,0.29523092580778554,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.7192325396825396,0.773,0.5806666666666667,0.16555337543821774,0.19118622744916516,0.2973240040299768,L2_Logistic_Regression
0.005,L2_primal,0.01,0.720738492063492,0.774547619047619,0.5819166666666666,0.16702681780713488,0.19039517151063465,0.296451079609939,L2_Logistic_Regression
0.01,L2_primal,0.01,0.7225142857142857,0.7822142857142858,0.5906666666666667,0.16750984555108145,0.18173184941528386,0.29441402874836214,L2_Logistic_Regression
0.05,L2_primal,0.01,0.7302,0.7960952380952381,0.59775,0.1689768766902763,0.17307494236923204,0.2866403590242522,L2_Logistic_Regression
0.1,L2_primal,0.01,0.7313329365079365,0.7897857142857143,0.5985833333333334,0.16997598782476192,0.17567809803551793,0.28853863441676014,L2_Logistic_Regression
0.25,L2_primal,0.01,0.7343162698412699,0.7858571428571428,0.5944166666666667,0.1710435401661504,0.178244438592743,0.28993577091535533,L2_Logistic_Regression
0.5,L2_primal,0.01,0.7348638888888889,0.7858809523809523,0.5960833333333333,0.1723372287969201,0.1822583428991123,0.29094839770725645,L2_Logistic_Regression
