cv_aucs,test_aucs,model
0.7738305555555556,0.675,L2_Logistic_Regression
0.603495634920635,0.5750000000000001,L2_Logistic_Regression
0.6502837301587302,0.725,L2_Logistic_Regression
0.8114242063492063,0.7,L2_Logistic_Regression
0.7275797619047619,0.8,L2_Logistic_Regression
0.6639539682539682,0.7,L2_Logistic_Regression
0.6218218253968254,0.65,L2_Logistic_Regression
0.7739607142857143,0.775,L2_Logistic_Regression
0.673013492063492,0.7,L2_Logistic_Regression
0.7364646825396826,0.525,L2_Logistic_Regression
0.7189738095238095,0.725,L2_Logistic_Regression
0.7687603174603175,0.675,L2_Logistic_Regression
0.5573166666666667,0.65,L2_Logistic_Regression
0.6132019841269841,0.925,L2_Logistic_Regression
0.6211988095238096,0.725,L2_Logistic_Regression
0.7907373015873016,0.725,L2_Logistic_Regression
0.5462301587301587,0.9,L2_Logistic_Regression
0.6690714285714285,0.9,L2_Logistic_Regression
0.6524408730158731,0.8,L2_Logistic_Regression
0.8531547619047619,0.475,L2_Logistic_Regression
0.7254329365079365,0.8,L2_Logistic_Regression
0.8705535714285715,0.625,L2_Logistic_Regression
0.7357944444444444,0.725,L2_Logistic_Regression
0.7495345238095238,0.47500000000000003,L2_Logistic_Regression
0.6694984126984127,0.675,L2_Logistic_Regression
0.6691543650793651,0.875,L2_Logistic_Regression
0.6473150793650794,0.7,L2_Logistic_Regression
0.7254146825396826,0.525,L2_Logistic_Regression
0.5828011904761905,0.8,L2_Logistic_Regression
0.6905916666666667,0.675,L2_Logistic_Regression
0.8500218253968254,0.6,L2_Logistic_Regression
0.7557273809523809,0.625,L2_Logistic_Regression
0.6319130952380952,0.775,L2_Logistic_Regression
0.6553190476190476,0.7250000000000001,L2_Logistic_Regression
0.6845809523809524,0.825,L2_Logistic_Regression
0.8509476190476191,0.675,L2_Logistic_Regression
0.634034126984127,0.8,L2_Logistic_Regression
0.7425686507936508,0.85,L2_Logistic_Regression
0.6818924603174603,0.775,L2_Logistic_Regression
0.8197269841269841,0.7,L2_Logistic_Regression
0.7429365079365079,0.775,L2_Logistic_Regression
0.6743710317460317,0.675,L2_Logistic_Regression
0.5284730158730159,0.9,L2_Logistic_Regression
0.574156746031746,0.8,L2_Logistic_Regression
0.5490285714285714,0.8,L2_Logistic_Regression
0.5789753968253968,0.675,L2_Logistic_Regression
0.7551361111111111,0.7,L2_Logistic_Regression
0.6957222222222222,0.75,L2_Logistic_Regression
0.6955376984126984,0.825,L2_Logistic_Regression
0.6420297619047619,0.8,L2_Logistic_Regression
0.7681876984126984,0.625,L2_Logistic_Regression
0.5750619047619048,0.9,L2_Logistic_Regression
0.7822749999999999,0.5,L2_Logistic_Regression
0.8203809523809524,0.65,L2_Logistic_Regression
0.556097619047619,0.8,L2_Logistic_Regression
0.6407571428571428,0.725,L2_Logistic_Regression
0.697981746031746,0.75,L2_Logistic_Regression
0.5519468253968254,1,L2_Logistic_Regression
0.565772619047619,0.75,L2_Logistic_Regression
0.7320710317460317,0.5499999999999999,L2_Logistic_Regression
0.682015873015873,0.775,L2_Logistic_Regression
0.9120547619047619,0.575,L2_Logistic_Regression
0.7325757936507936,0.825,L2_Logistic_Regression
0.6178134920634921,0.8,L2_Logistic_Regression
0.6360190476190476,0.8,L2_Logistic_Regression
0.5860861111111111,0.8,L2_Logistic_Regression
0.8637853174603175,0.6,L2_Logistic_Regression
0.7326634920634921,0.675,L2_Logistic_Regression
0.7321988095238096,0.825,L2_Logistic_Regression
0.7736662698412698,0.6,L2_Logistic_Regression
0.6175043650793651,0.875,L2_Logistic_Regression
0.5734031746031746,0.9,L2_Logistic_Regression
0.7040075396825397,0.775,L2_Logistic_Regression
0.7934313492063492,0.39999999999999997,L2_Logistic_Regression
0.6917265873015873,0.775,L2_Logistic_Regression
0.8222138888888889,0.65,L2_Logistic_Regression
0.7239535714285714,0.45,L2_Logistic_Regression
0.46928650793650795,0.8500000000000001,L2_Logistic_Regression
0.8403833333333334,0.7000000000000001,L2_Logistic_Regression
0.5625456349206349,0.925,L2_Logistic_Regression
0.6018503968253969,0.85,L2_Logistic_Regression
0.5944297619047619,0.675,L2_Logistic_Regression
0.4943543650793651,0.925,L2_Logistic_Regression
0.6584396825396825,0.425,L2_Logistic_Regression
0.7359666666666667,0.525,L2_Logistic_Regression
0.6100880952380953,0.675,L2_Logistic_Regression
0.8131432539682539,0.775,L2_Logistic_Regression
0.6186853174603174,0.75,L2_Logistic_Regression
0.8828218253968254,0.525,L2_Logistic_Regression
0.7425218253968254,0.65,L2_Logistic_Regression
0.8023238095238096,0.475,L2_Logistic_Regression
0.6843980158730159,0.725,L2_Logistic_Regression
0.7909396825396825,0.65,L2_Logistic_Regression
0.6816138888888889,0.8250000000000001,L2_Logistic_Regression
0.6959269841269842,0.75,L2_Logistic_Regression
0.722284126984127,0.675,L2_Logistic_Regression
0.49197420634920636,0.95,L2_Logistic_Regression
0.7911162698412698,0.475,L2_Logistic_Regression
0.797754365079365,0.725,L2_Logistic_Regression
0.5881178571428571,0.8,L2_Logistic_Regression
