cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.3990873015873016,0.8405,0.11516666666666667,0.13827719101423888,0.23135715571811694,0.21411778669071632,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.3990873015873016,0.8405,0.11516666666666667,0.13827719101423888,0.23135715571811694,0.21411778669071632,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.3990873015873016,0.8405,0.11516666666666667,0.13827719101423888,0.23135715571811694,0.21411778669071632,L2_Logistic_Regression
0.001,L2_primal,0.01,0.3990873015873016,0.8405,0.11516666666666667,0.13827719101423888,0.23135715571811694,0.21411778669071632,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.3980039682539682,0.8395,0.11516666666666667,0.1390208431500826,0.23196452430738818,0.21411778669071632,L2_Logistic_Regression
0.005,L2_primal,0.01,0.39710119047619047,0.837952380952381,0.11866666666666667,0.13957213883332745,0.23244842970749127,0.21413323654384314,L2_Logistic_Regression
0.01,L2_primal,0.01,0.396406746031746,0.8341428571428572,0.11991666666666667,0.13851764807059266,0.23337367247301868,0.21416672369629494,L2_Logistic_Regression
0.05,L2_primal,0.01,0.3938988095238095,0.8073333333333333,0.14283333333333334,0.14051465910872135,0.2415111931623524,0.22023862749979337,L2_Logistic_Regression
0.1,L2_primal,0.01,0.3914968253968254,0.7824761904761904,0.16541666666666666,0.1384105469751925,0.2399600387580756,0.22321278215972828,L2_Logistic_Regression
0.25,L2_primal,0.01,0.39183174603174603,0.7243809523809523,0.20149999999999998,0.13760531603419182,0.2488357832563371,0.2298810776961581,L2_Logistic_Regression
0.5,L2_primal,0.01,0.3911551587301587,0.6785952380952381,0.24341666666666667,0.13641753818227714,0.24415406488021427,0.23268573388536057,L2_Logistic_Regression
1,L2_primal,0.01,0.3898376984126984,0.6115238095238095,0.26991666666666664,0.1346367982936994,0.2323765784013996,0.2390698141692112,L2_Logistic_Regression
10,L2_primal,0.01,0.3876452380952381,0.5071190476190476,0.36566666666666664,0.12450992368240729,0.2069145088878711,0.24605565139738125,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.4881357142857143,0.7915952380952381,0.2185,0.19884846221080676,0.21656572122089465,0.2527613550846574,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.4881357142857143,0.7915952380952381,0.2185,0.19884846221080676,0.21656572122089465,0.2527613550846574,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.4881357142857143,0.7915952380952381,0.2185,0.19884846221080676,0.21656572122089465,0.2527613550846574,L2_Logistic_Regression
0.001,L2_primal,0.01,0.4881357142857143,0.7915952380952381,0.2185,0.19884846221080676,0.21656572122089465,0.2527613550846574,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.48838571428571426,0.7889285714285714,0.21975,0.19889487895927058,0.21665144744320353,0.25229309869546157,L2_Logistic_Regression
0.005,L2_primal,0.01,0.48877261904761904,0.7857142857142857,0.221,0.19909569196254523,0.2182017021395049,0.2542999279944867,L2_Logistic_Regression
0.01,L2_primal,0.01,0.4897845238095238,0.7822142857142858,0.2255,0.19999009548052993,0.2177576159667524,0.2548245255173387,L2_Logistic_Regression
0.05,L2_primal,0.01,0.4950301587301587,0.7538809523809524,0.2509166666666667,0.20420418289974668,0.2275429408869231,0.2585133241233458,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5005765873015873,0.7254285714285714,0.2836666666666667,0.20302813805634076,0.2371325068303477,0.25885199460092584,L2_Logistic_Regression
0.25,L2_primal,0.01,0.515390873015873,0.6749047619047619,0.33908333333333335,0.20661968255474616,0.24622433340602085,0.27551078141444885,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5278809523809523,0.6339047619047619,0.41158333333333336,0.2066569279819319,0.25466647659346053,0.28684247997703316,L2_Logistic_Regression
1,L2_primal,0.01,0.5411460317460317,0.5843571428571429,0.4628333333333333,0.20694275949443186,0.23868907877658396,0.2987817718341368,L2_Logistic_Regression
10,L2_primal,0.01,0.5414063492063492,0.5273095238095238,0.5215833333333333,0.20271692341137634,0.22087344055876332,0.3118889223559095,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.49824484126984125,0.8063333333333333,0.2554166666666667,0.20797550991787966,0.2069789930369973,0.24186333186522754,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.49824484126984125,0.8063333333333333,0.2554166666666667,0.20797550991787966,0.2069789930369973,0.24186333186522754,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.49824484126984125,0.8063333333333333,0.2554166666666667,0.20797550991787966,0.2069789930369973,0.24186333186522754,L2_Logistic_Regression
0.001,L2_primal,0.01,0.49824484126984125,0.8063333333333333,0.2554166666666667,0.20797550991787966,0.2069789930369973,0.24186333186522754,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.49891150793650796,0.8018333333333333,0.26125,0.20792639112817188,0.20930761622464272,0.2496168895907404,L2_Logistic_Regression
0.005,L2_primal,0.01,0.4996059523809524,0.7948333333333333,0.26125,0.20764990785280543,0.20882422390597472,0.2496168895907404,L2_Logistic_Regression
0.01,L2_primal,0.01,0.500647619047619,0.7913333333333333,0.26766666666666666,0.20831957048247532,0.2081585312537228,0.25077011479559363,L2_Logistic_Regression
