row,column,cor,p
Otu00218,Otu00247,1,0
Otu00211,Otu00248,1,0
Otu00208,Otu00257,1,0
Otu00222,Otu00286,1,0
Otu00222,Otu00297,1,0
Otu00286,Otu00297,1,0
Otu00302,Otu00308,1,0
Otu00302,Otu00348,1,0
Otu00308,Otu00348,1,0
Otu00211,Otu00354,1,0
Otu00248,Otu00354,1,0
Otu00368,Otu00400,1,0
Otu00149,Otu00415,1,0
Otu00359,Otu00425,1,0
Otu00285,Otu00431,1,0
Otu00366,Otu00476,1,0
Otu00149,Otu00488,1,0
Otu00415,Otu00488,1,0
Otu00253,Otu00499,1,0
Otu00366,Otu00521,1,0
Otu00476,Otu00521,1,0
Otu00366,Otu00531,1,0
Otu00476,Otu00531,1,0
Otu00521,Otu00531,1,0
Otu00520,Otu00533,1,0
Otu00525,Otu00546,1,0
Otu00525,Otu00551,1,0
Otu00546,Otu00551,1,0
Otu00368,Otu00560,1,0
Otu00400,Otu00560,1,0
Otu00149,Otu00564,1,0
Otu00415,Otu00564,1,0
Otu00488,Otu00564,1,0
Otu00218,Otu00582,1,0
Otu00247,Otu00582,1,0
Otu00218,Otu00585,1,0
Otu00247,Otu00585,1,0
Otu00582,Otu00585,1,0
Otu00366,Otu00588,1,0
Otu00476,Otu00588,1,0
Otu00521,Otu00588,1,0
Otu00531,Otu00588,1,0
Otu00534,Otu00610,1,0
Otu00366,Otu00617,1,0
Otu00476,Otu00617,1,0
Otu00521,Otu00617,1,0
Otu00531,Otu00617,1,0
Otu00588,Otu00617,1,0
Otu00222,Otu00620,1,0
Otu00286,Otu00620,1,0
Otu00297,Otu00620,1,0
Otu00273,Otu00633,1,0
Otu00236,Otu00637,1,0
Otu00580,Otu00649,1,0
Otu00520,Otu00658,1,0
Otu00533,Otu00658,1,0
Otu00222,Otu00671,1,0
Otu00286,Otu00671,1,0
Otu00297,Otu00671,1,0
Otu00620,Otu00671,1,0
Otu00302,Otu00677,1,0
Otu00308,Otu00677,1,0
Otu00348,Otu00677,1,0
Otu00598,Otu00678,1,0
Otu00236,Otu00679,1,0
Otu00637,Otu00679,1,0
Otu00302,Otu00701,1,0
Otu00308,Otu00701,1,0
Otu00348,Otu00701,1,0
Otu00677,Otu00701,1,0
Otu00580,Otu00703,1,0
Otu00649,Otu00703,1,0
Otu00359,Otu00705,1,0
Otu00425,Otu00705,1,0
Otu00217,Otu00709,1,0
Otu00539,Otu00718,1,0
Otu00365,Otu00731,1,0
Otu00236,Otu00733,1,0
Otu00637,Otu00733,1,0
Otu00679,Otu00733,1,0
Otu00217,Otu00743,1,0
Otu00709,Otu00743,1,0
Otu00579,Otu00747,1,0
Otu00236,Otu00749,1,0
Otu00637,Otu00749,1,0
Otu00679,Otu00749,1,0
Otu00733,Otu00749,1,0
Otu00423,Otu00755,1,0
Otu00598,Otu00770,1,0
Otu00678,Otu00770,1,0
Otu00366,Otu00777,1,0
Otu00476,Otu00777,1,0
Otu00521,Otu00777,1,0
Otu00531,Otu00777,1,0
Otu00588,Otu00777,1,0
Otu00617,Otu00777,1,0
Otu00236,Otu00780,1,0
Otu00637,Otu00780,1,0
Otu00679,Otu00780,1,0
Otu00733,Otu00780,1,0
Otu00749,Otu00780,1,0
Otu00579,Otu00782,1,0
Otu00747,Otu00782,1,0
Otu00366,Otu00783,1,0
Otu00476,Otu00783,1,0
Otu00521,Otu00783,1,0
Otu00531,Otu00783,1,0
Otu00588,Otu00783,1,0
Otu00617,Otu00783,1,0
Otu00777,Otu00783,1,0
Otu00302,Otu00789,1,0
Otu00308,Otu00789,1,0
Otu00348,Otu00789,1,0
Otu00677,Otu00789,1,0
Otu00701,Otu00789,1,0
Otu00580,Otu00801,1,0
Otu00649,Otu00801,1,0
Otu00703,Otu00801,1,0
Otu00716,Otu00804,1,0
Otu00368,Otu00807,1,0
Otu00400,Otu00807,1,0
Otu00560,Otu00807,1,0
Otu00236,Otu00816,1,0
Otu00637,Otu00816,1,0
Otu00679,Otu00816,1,0
Otu00733,Otu00816,1,0
Otu00749,Otu00816,1,0
Otu00780,Otu00816,1,0
Otu00520,Otu00841,1,0
Otu00533,Otu00841,1,0
Otu00658,Otu00841,1,0
Otu00217,Otu00850,1,0
Otu00709,Otu00850,1,0
Otu00743,Otu00850,1,0
Otu00580,Otu00857,1,0
Otu00649,Otu00857,1,0
Otu00703,Otu00857,1,0
Otu00801,Otu00857,1,0
Otu00785,Otu00870,1,0
Otu00716,Otu00881,1,0
Otu00804,Otu00881,1,0
Otu00236,Otu00883,1,0
Otu00637,Otu00883,1,0
Otu00679,Otu00883,1,0
Otu00733,Otu00883,1,0
Otu00749,Otu00883,1,0
Otu00780,Otu00883,1,0
Otu00816,Otu00883,1,0
Otu00366,Otu00886,1,0
Otu00476,Otu00886,1,0
Otu00521,Otu00886,1,0
Otu00531,Otu00886,1,0
Otu00588,Otu00886,1,0
Otu00617,Otu00886,1,0
Otu00777,Otu00886,1,0
Otu00783,Otu00886,1,0
Otu00720,Otu00890,1,0
Otu00423,Otu00926,1,0
Otu00755,Otu00926,1,0
Otu00218,Otu00928,1,0
Otu00247,Otu00928,1,0
Otu00582,Otu00928,1,0
Otu00585,Otu00928,1,0
Otu00368,Otu00930,1,0
Otu00400,Otu00930,1,0
Otu00560,Otu00930,1,0
Otu00807,Otu00930,1,0
Otu00720,Otu00935,1,0
Otu00890,Otu00935,1,0
Otu00302,Otu00937,1,0
Otu00308,Otu00937,1,0
Otu00348,Otu00937,1,0
Otu00677,Otu00937,1,0
Otu00701,Otu00937,1,0
Otu00789,Otu00937,1,0
Otu00843,Otu00947,1,0
Otu00672,Otu00948,1,0
Otu00302,Otu00949,1,0
Otu00308,Otu00949,1,0
Otu00348,Otu00949,1,0
Otu00677,Otu00949,1,0
Otu00701,Otu00949,1,0
Otu00789,Otu00949,1,0
Otu00937,Otu00949,1,0
Otu00525,Otu00950,1,0
Otu00546,Otu00950,1,0
Otu00551,Otu00950,1,0
Otu00366,Otu00957,1,0
Otu00476,Otu00957,1,0
Otu00521,Otu00957,1,0
Otu00531,Otu00957,1,0
Otu00588,Otu00957,1,0
Otu00617,Otu00957,1,0
Otu00777,Otu00957,1,0
Otu00783,Otu00957,1,0
Otu00886,Otu00957,1,0
Otu00359,Otu00960,1,0
Otu00425,Otu00960,1,0
Otu00705,Otu00960,1,0
Otu00217,Otu00962,1,0
Otu00709,Otu00962,1,0
Otu00743,Otu00962,1,0
Otu00850,Otu00962,1,0
Otu00368,Otu00967,1,0
Otu00400,Otu00967,1,0
Otu00560,Otu00967,1,0
Otu00807,Otu00967,1,0
Otu00930,Otu00967,1,0
Otu00720,Otu00971,1,0
Otu00890,Otu00971,1,0
Otu00935,Otu00971,1,0
Otu00368,Otu00974,1,0
Otu00400,Otu00974,1,0
Otu00560,Otu00974,1,0
Otu00807,Otu00974,1,0
Otu00930,Otu00974,1,0
Otu00967,Otu00974,1,0
Otu00977,Otu00987,1,0
Otu00580,Otu00988,1,0
Otu00649,Otu00988,1,0
Otu00703,Otu00988,1,0
Otu00801,Otu00988,1,0
Otu00857,Otu00988,1,0
Otu00587,Otu00990,1,0
Otu00222,Otu00993,1,0
Otu00286,Otu00993,1,0
Otu00297,Otu00993,1,0
Otu00620,Otu00993,1,0
Otu00671,Otu00993,1,0
Otu00236,Otu01002,1,0
Otu00637,Otu01002,1,0
Otu00679,Otu01002,1,0
Otu00733,Otu01002,1,0
Otu00749,Otu01002,1,0
Otu00780,Otu01002,1,0
Otu00816,Otu01002,1,0
Otu00883,Otu01002,1,0
Otu00579,Otu01007,1,0
Otu00747,Otu01007,1,0
Otu00782,Otu01007,1,0
Otu00854,Otu01013,1,0
Otu00302,Otu01018,1,0
Otu00308,Otu01018,1,0
Otu00348,Otu01018,1,0
Otu00677,Otu01018,1,0
Otu00701,Otu01018,1,0
Otu00789,Otu01018,1,0
Otu00937,Otu01018,1,0
Otu00949,Otu01018,1,0
Otu00525,Otu01024,1,0
Otu00546,Otu01024,1,0
Otu00551,Otu01024,1,0
Otu00950,Otu01024,1,0
Otu00724,Otu01041,1,0
Otu00405,Otu01050,1,0
Otu00359,Otu01060,1,0
Otu00425,Otu01060,1,0
Otu00705,Otu01060,1,0
Otu00960,Otu01060,1,0
Otu00149,Otu01062,1,0
Otu00415,Otu01062,1,0
Otu00488,Otu01062,1,0
Otu00564,Otu01062,1,0
Otu00302,Otu01067,1,0
Otu00308,Otu01067,1,0
Otu00348,Otu01067,1,0
Otu00677,Otu01067,1,0
Otu00701,Otu01067,1,0
Otu00789,Otu01067,1,0
Otu00937,Otu01067,1,0
Otu00949,Otu01067,1,0
Otu01018,Otu01067,1,0
Otu00273,Otu01085,1,0
Otu00633,Otu01085,1,0
Otu00366,Otu01086,1,0
Otu00476,Otu01086,1,0
Otu00521,Otu01086,1,0
Otu00531,Otu01086,1,0
Otu00588,Otu01086,1,0
Otu00617,Otu01086,1,0
Otu00777,Otu01086,1,0
Otu00783,Otu01086,1,0
Otu00886,Otu01086,1,0
Otu00957,Otu01086,1,0
Otu00984,Otu01089,1,0
Otu00368,Otu01091,1,0
Otu00400,Otu01091,1,0
Otu00560,Otu01091,1,0
Otu00807,Otu01091,1,0
Otu00930,Otu01091,1,0
Otu00967,Otu01091,1,0
Otu00974,Otu01091,1,0
Otu00716,Otu01094,1,0
Otu00804,Otu01094,1,0
Otu00881,Otu01094,1,0
Otu00365,Otu01097,1,0
Otu00731,Otu01097,1,0
Otu00366,Otu01098,1,0
Otu00476,Otu01098,1,0
Otu00521,Otu01098,1,0
Otu00531,Otu01098,1,0
Otu00588,Otu01098,1,0
Otu00617,Otu01098,1,0
Otu00777,Otu01098,1,0
Otu00783,Otu01098,1,0
Otu00886,Otu01098,1,0
Otu00957,Otu01098,1,0
Otu01086,Otu01098,1,0
Otu00598,Otu01099,1,0
Otu00678,Otu01099,1,0
Otu00770,Otu01099,1,0
Otu00368,Otu01100,1,0
Otu00400,Otu01100,1,0
Otu00560,Otu01100,1,0
Otu00807,Otu01100,1,0
Otu00930,Otu01100,1,0
Otu00967,Otu01100,1,0
Otu00974,Otu01100,1,0
Otu01091,Otu01100,1,0
Otu01058,Otu01103,1,0
Otu00552,Otu01107,1,0
Otu00359,Otu01111,1,0
Otu00425,Otu01111,1,0
Otu00705,Otu01111,1,0
Otu00960,Otu01111,1,0
Otu01060,Otu01111,1,0
Otu00253,Otu01115,1,0
Otu00499,Otu01115,1,0
Otu00405,Otu01116,1,0
Otu01050,Otu01116,1,0
Otu00552,Otu01121,1,0
Otu01107,Otu01121,1,0
Otu00910,Otu01128,1,0
Otu00598,Otu01132,1,0
Otu00678,Otu01132,1,0
Otu00770,Otu01132,1,0
Otu01099,Otu01132,1,0
Otu00423,Otu01141,1,0
Otu00755,Otu01141,1,0
Otu00926,Otu01141,1,0
Otu00368,Otu01155,1,0
Otu00400,Otu01155,1,0
Otu00560,Otu01155,1,0
Otu00807,Otu01155,1,0
Otu00930,Otu01155,1,0
Otu00967,Otu01155,1,0
Otu00974,Otu01155,1,0
Otu01091,Otu01155,1,0
Otu01100,Otu01155,1,0
Otu00366,Otu01160,1,0
Otu00476,Otu01160,1,0
Otu00521,Otu01160,1,0
Otu00531,Otu01160,1,0
Otu00588,Otu01160,1,0
Otu00617,Otu01160,1,0
Otu00777,Otu01160,1,0
Otu00783,Otu01160,1,0
Otu00886,Otu01160,1,0
Otu00957,Otu01160,1,0
Otu01086,Otu01160,1,0
Otu01098,Otu01160,1,0
Otu00520,Otu01161,1,0
Otu00533,Otu01161,1,0
Otu00658,Otu01161,1,0
Otu00841,Otu01161,1,0
Otu00380,Otu01171,1,0
Otu00149,Otu01174,1,0
Otu00415,Otu01174,1,0
Otu00488,Otu01174,1,0
Otu00564,Otu01174,1,0
Otu01062,Otu01174,1,0
Otu00366,Otu01180,1,0
Otu00476,Otu01180,1,0
Otu00521,Otu01180,1,0
Otu00531,Otu01180,1,0
Otu00588,Otu01180,1,0
Otu00617,Otu01180,1,0
Otu00777,Otu01180,1,0
Otu00783,Otu01180,1,0
Otu00886,Otu01180,1,0
Otu00957,Otu01180,1,0
Otu01086,Otu01180,1,0
Otu01098,Otu01180,1,0
Otu01160,Otu01180,1,0
Otu00285,Otu01183,1,0
Otu00431,Otu01183,1,0
Otu00534,Otu01205,1,0
Otu00610,Otu01205,1,0
